Aba, Abia 	 5.1167 , 7.3667 	 5.1166666666667 , 7.3666666666667
FIXED for  Lira, Salvaterra de Miño 	 42.153056 , -8.45999 	 42.153056 , -8.45999
FIXED for  Lira, Uganda 	 2.2488888888889 , 32.9 	 2.2488888888889 , 32.9
FIXED for  Lismore, County Waterford 	 52.1367 , -7.9308 	 52.1367 , -7.9308
FIXED for  Lismore, Minnesota 	 43.747777777778 , -95.947222222222 	 43.747777777778 , -95.947222222222
FIXED for  Lismore, New South Wales 	 -28.81354 , 153.2773 	 -28.81354 , 153.2773
FIXED for  Lismore, Scotland 	 56.48333 , -5.55 	 56.48333 , -5.55
FIXED for  Lismore, Victoria 	 -37.9667 , 143.35 	 -37.9667 , 143.35
FIXED for  Lisse 	 52.25 , 4.55 	 52.25 , 4.55
FIXED for  Littleton, Colorado 	 39.613321 , -105.0166498 	 39.613321 , -105.0166498
FIXED for  Littleton, Massachusetts 	 42.5375 , -71.5125 	 42.5375 , -71.5125
FIXED for  Littleton, Spelthorne 	 51.405 , -0.462 	 51.405 , -0.462
FIXED for  Liuli 	 -11.086833333333 , 34.642694444444 	 -11.086833333333 , 34.642694444444
FIXED for  Livermore, California 	 37.685555555556 , -121.76416666667 	 37.685555555556 , -121.76416666667
FIXED for  Livermore, Iowa 	 42.866944444444 , -94.184166666667 	 42.866944444444 , -94.184166666667
FIXED for  Livermore, Kentucky 	 37.4911 , -87.1353 	 37.4911 , -87.1353
FIXED for  Livermore, Maine 	 44.383888888889 , -70.249166666667 	 44.383888888889 , -70.249166666667
FIXED for  Livermore, New Hampshire 	 44.074444444444 , -71.377222222222 	 44.074444444444 , -71.377222222222
FIXED for  Livermore, Pennsylvania 	 40.4617 , -79.3331 	 40.4617 , -79.3331
FIXED for  Liverpool 	 53.416666666667 , -3.0 	 53.416666666667 , -3.0
FIXED for  Liverpool, Indiana 	 41.5525 , -87.2947 	 41.5525 , -87.2947
FIXED for  Liverpool, New South Wales 	 -33.92092 , 150.92314 	 -33.92092 , 150.92314
FIXED for  Liverpool, New York 	 43.1033 , -76.2067 	 43.1033 , -76.2067
FIXED for  Liverpool, Nova Scotia 	 44.04 , -64.72 	 44.04 , -64.72
FIXED for  Livingston, California 	 37.386944444444 , -120.72361111111 	 37.386944444444 , -120.72361111111
FIXED for  Livingston, Guatemala 	 15.83 , -88.75 	 15.83 , -88.75
FIXED for  Livingston, Kentucky 	 37.298611111111 , -84.216666666667 	 37.298611111111 , -84.216666666667
FIXED for  Livingston, Louisiana 	 30.50213 , -90.74787 	 30.50213 , -90.74787
FIXED for  Livingston, Mississippi 	 32.5531 , -90.2161 	 32.5531 , -90.2161
FIXED for  Livingston, Montana 	 45.658333333333 , -110.56666666667 	 45.658333333333 , -110.56666666667
FIXED for  Livingston, New Jersey 	 40.783333333333 , -74.326388888889 	 40.783333333333 , -74.326388888889
FIXED for  Livingston, Staten Island 	 40.6425 , -74.1093 	 40.6425 , -74.1093
FIXED for  Livingston, Tennessee 	 36.3834 , -85.32302 	 36.3834 , -85.32302
FIXED for  Livingston, Texas 	 30.7094 , -94.9344 	 30.7094 , -94.9344
FIXED for  Livingston, West Lothian 	 55.8834 , -3.5157 	 55.8834 , -3.5157
FIXED for  Liyang 	 31.41736 , 119.4786 	 31.41736 , 119.4786
FIXED for  Lobo, Batangas 	 13.65 , 121.25 	 13.65 , 121.25
FIXED for  Lobo, Texas 	 30.814166666667 , -104.75305555556 	 30.814166666667 , -104.75305555556
FIXED for  Lode, Cambridgeshire 	 52.24 , 0.24 	 52.24 , 0.24
FIXED for  Lodi, California 	 38.128888888889 , -121.28083333333 	 38.128888888889 , -121.28083333333
FIXED for  Lodi, Indiana 	 39.95 , -87.4058 	 39.95 , -87.4058
FIXED for  Lodi, New Jersey 	 40.8779 , -74.0825 	 40.8779 , -74.0825
FIXED for  Lodi, New York 	 42.613333333333 , -76.824166666667 	 42.613333333333 , -76.824166666667
FIXED for  Lodi, Ohio 	 41.0331 , -82.0117 	 41.0331 , -82.0117
FIXED for  Lodi, Wisconsin 	 43.314166666667 , -89.531111111111 	 43.314166666667 , -89.531111111111
FIXED for  Logan, Montana 	 45.884444444444 , -111.4275 	 45.884444444444 , -111.4275
FIXED for  Logan, New Mexico 	 35.3614 , -103.448 	 35.3614 , -103.448
FIXED for  Logan, Ohio 	 39.5392 , -82.4061 	 39.5392 , -82.4061
FIXED for  Logan, Utah 	 41.737777777778 , -111.83083333333 	 41.737777777778 , -111.83083333333
FIXED for  Logan, West Virginia 	 37.848333333333 , -81.987777777778 	 37.848333333333 , -81.987777777778
FIXED for  Loka, Koper 	 45.535556 , 13.888889 	 45.535556 , 13.888889
FIXED for  Lolo, Montana 	 46.765277777778 , -114.08583333333 	 46.765277777778 , -114.08583333333
FIXED for  Loma Bonita 	 18.1 , -95.883333333333 	 18.1 , -95.883333333333
FIXED for  Lom, Norway 	 61.810833 , 8.639167 	 61.810833 , 8.639167
FIXED for  London 	 51.507222222222 , -0.1275 	 51.507222222222 , -0.1275
FIXED for  London, Kentucky 	 37.1275 , -84.0842 	 37.1275 , -84.0842
FIXED for  London, Ohio 	 39.887466 , -83.445041 	 39.887466 , -83.445041
FIXED for  London, Ontario 	 42.9837 , -81.2497 	 42.9837 , -81.2497
FIXED for  Long Beach, California 	 33.768321 , -118.1956168 	 33.768321 , -118.1956168
FIXED for  Long Beach, Indiana 	 41.73893 , -86.85697 	 41.73893 , -86.85697
FIXED for  Long Beach, Mississippi 	 30.3525 , -89.159722222222 	 30.3525 , -89.159722222222
FIXED for  Long Beach, New York 	 40.58605 , -73.66775 	 40.58605 , -73.66775
FIXED for  Long Beach, New Zealand 	 -45.75 , 170.633 	 -45.75 , 170.633
FIXED for  Long Beach, Washington 	 46.35232 , -124.05432 	 46.35232 , -124.05432
FIXED for  Longkou 	 37.65 , 120.325 	 37.65 , 120.325
FIXED for  Longmen, Zhejiang 	 29.90303 , 119.94742 	 29.90303 , 119.94742
FIXED for  Longos, Achaea 	 38.294722222222 , 22.021388888889 	 38.294722222222 , 22.021388888889
FIXED for  Longquan 	 28.07334 , 119.12771 	 28.07334 , 119.12771
FIXED for  Longwood, Florida 	 28.701944444444 , -81.345 	 28.701944444444 , -81.345
FIXED for  Longwood, Saint Helena 	 -15.95 , -5.6833333333333 	 -15.95 , -5.6833333333333
FIXED for  Longwood, Victoria 	 -36.8 , 145.417 	 -36.8 , 145.417
FIXED for  Loni, Ghaziabad 	 28.75 , 77.28 	 28.75 , 77.28
FIXED for  Lopez, Quezon 	 13.884 , 122.2604 	 13.884 , 122.2604
FIXED for  Lora, Khyber Pakhtunkhwa 	 33.883333333333 , 73.283333333333 	 33.883333333333 , 73.283333333333
FIXED for  Loreto, Agusan del Sur 	 8.1856 , 125.8538 	 8.1856 , 125.8538
FIXED for  Loreto, Baja California Sur 	 26.012777777778 , -111.34333333333 	 26.012777777778 , -111.34333333333
FIXED for  Lorino, Chukotka Autonomous Okrug 	 65.5 , -171.71666666667 	 65.5 , -171.71666666667
FIXED for  Los Alamos, California 	 34.74194 , -120.27528 	 34.74194 , -120.27528
FIXED for  Los Alamos, New Mexico 	 35.891111111111 , -106.29777777778 	 35.891111111111 , -106.29777777778
FIXED for  Los Algodones 	 32.715277777778 , -114.72888888889 	 32.715277777778 , -114.72888888889
FIXED for  Los Altos, California 	 37.3681 , -122.098 	 37.3681 , -122.098
FIXED for  Los Angeles 	 34.05223 , -118.24368 	 34.05223 , -118.24368
FIXED for  Los Banos, California 	 37.058333333333 , -120.85 	 37.058333333333 , -120.85
FIXED for  Los Cerrillos, New Mexico 	 35.4372 , -106.127 	 35.4372 , -106.127
FIXED for  Los Indios, Texas 	 26.04924 , -97.74499 	 26.04924 , -97.74499
FIXED for  Los Molinos, California 	 40.02417 , -122.09917 	 40.02417 , -122.09917
FIXED for  Los Sauces 	 -37.966666666667 , -72.833333333333 	 -37.966666666667 , -72.833333333333
FIXED for  Lota, Chile 	 -37.083333333333 , -73.166666666667 	 -37.083333333333 , -73.166666666667
FIXED for  Lota, Queensland 	 -27.4667 , 153.183 	 -27.4667 , 153.183
FIXED for  Louisville, Colorado 	 39.9758 , -105.144 	 39.9758 , -105.144
FIXED for  Louisville, Georgia 	 33.0042 , -82.4047 	 33.0042 , -82.4047
FIXED for  Louisville, Kansas 	 39.25 , -96.3167 	 39.25 , -96.3167
FIXED for  Louisville, Mississippi 	 33.1231 , -89.0561 	 33.1231 , -89.0561
FIXED for  Louisville, New York 	 44.8975 , -75.015833333333 	 44.8975 , -75.015833333333
FIXED for  Louisville, Ohio 	 40.8372 , -81.2592 	 40.8372 , -81.2592
FIXED for  Lourdes 	 43.095 , -0.045277777777778 	 43.095 , -0.045277777777778
FIXED for  Lowell, Arkansas 	 36.260555555556 , -94.139444444444 	 36.260555555556 , -94.139444444444
FIXED for  Lowell, Idaho 	 46.1439 , -115.597 	 46.1439 , -115.597
FIXED for  Lowell, Indiana 	 41.29142 , -87.42059 	 41.29142 , -87.42059
FIXED for  Lowell, Massachusetts 	 42.639444444444 , -71.314722222222 	 42.639444444444 , -71.314722222222
FIXED for  Lowell, North Carolina 	 35.267222222222 , -81.101111111111 	 35.267222222222 , -81.101111111111
FIXED for  Lowell, Ohio 	 39.5292 , -81.5075 	 39.5292 , -81.5075
FIXED for  Lowell, Oregon 	 43.921388888889 , -122.78222222222 	 43.921388888889 , -122.78222222222
FIXED for  Lowell, Vermont 	 44.795 , -72.449444444444 	 44.795 , -72.449444444444
FIXED for  Lowell, West Virginia 	 37.6544 , -80.7289 	 37.6544 , -80.7289
FIXED for  Luanda 	 -8.8333333333333 , 13.233333333333 	 -8.8333333333333 , 13.233333333333
FIXED for  Luba, Abra 	 17.3181 , 120.6952 	 17.3181 , 120.6952
FIXED for  Lubao, Pampanga 	 14.933333333333 , 120.6 	 14.933333333333 , 120.6
FIXED for  Luga, Leningrad Oblast 	 58.733333333333 , 29.85 	 58.733333333333 , 29.85
FIXED for  Luna, Apayao 	 18.324444444444 , 121.24861111111 	 18.324444444444 , 121.24861111111
FIXED for  Luna, La Union 	 16.85 , 120.38333333333 	 16.85 , 120.38333333333
FIXED for  Luni, Italy 	 44.064 , 10.017 	 44.064 , 10.017
FIXED for  Luoyang 	 34.65867 , 112.42447 	 34.65867 , 112.42447
FIXED for  Luzhou 	 28.89182 , 105.44093 	 28.89182 , 105.44093
FIXED for  Luzon 	 16.0 , 121.0 	 16.0 , 121.0
FIXED for  Macau 	 22.20056 , 113.54611 	 22.20056 , 113.54611
FIXED for  Macha, Zambia 	 -16.4 , 26.7833 	 -16.4 , 26.7833
FIXED for  Macon, Georgia 	 32.84069 , -83.6324 	 32.84069 , -83.6324
FIXED for  Macon, Illinois 	 39.70889 , -89.00028 	 39.70889 , -89.00028
FIXED for  Macon, Missouri 	 39.74056 , -92.47056 	 39.74056 , -92.47056
FIXED for  Macon, North Carolina 	 36.43876 , -78.08388 	 36.43876 , -78.08388
FIXED for  Madalena, Azores 	 38.53559 , -28.52343 	 38.53559 , -28.52343
FIXED for  Madalena, Ceará 	 -4.85694444 , -39.57694444 	 -4.85694444 , -39.57694444
FIXED for  Madang 	 -5.2166666666667 , 145.8 	 -5.2166666666667 , 145.8
FIXED for  Madar, Yemen 	 15.78027778 , 44.24027778 	 15.78027778 , 44.24027778
FIXED for  Madera, California 	 36.961388888889 , -120.06083333333 	 36.961388888889 , -120.06083333333
FIXED for  Madina, Hyderabad 	 17.36805556 , 78.47555556 	 17.36805556 , 78.47555556
FIXED for  Madison, California 	 38.6794 , -121.968 	 38.6794 , -121.968
FIXED for  Madison, Connecticut 	 41.337777777778 , -72.629444444444 	 41.337777777778 , -72.629444444444
FIXED for  Madison County, Alabama 	 34.765833333333 , -86.557777777778 	 34.765833333333 , -86.557777777778
FIXED for  Madison County, Arkansas 	 36.027222222222 , -93.695833333333 	 36.027222222222 , -93.695833333333
FIXED for  Madison County, Florida 	 30.45 , -83.47 	 30.45 , -83.47
FIXED for  Madison County, Georgia 	 34.13 , -83.21 	 34.13 , -83.21
FIXED for  Madison County, Idaho 	 43.79 , -111.66 	 43.79 , -111.66
FIXED for  Madison County, Illinois 	 38.83 , -89.91 	 38.83 , -89.91
FIXED for  Madison County, Indiana 	 40.16 , -85.72 	 40.16 , -85.72
FIXED for  Madison County, Iowa 	 41.33 , -94.01 	 41.33 , -94.01
FIXED for  Madison County, Kentucky 	 37.72 , -84.28 	 37.72 , -84.28
FIXED for  Madison County, Mississippi 	 32.63 , -90.03 	 32.63 , -90.03
FIXED for  Madison County, Missouri 	 37.48 , -90.34 	 37.48 , -90.34
FIXED for  Madison County, New York 	 42.91 , -75.67 	 42.91 , -75.67
FIXED for  Madison County, North Carolina 	 35.86 , -82.71 	 35.86 , -82.71
FIXED for  Madison County, Ohio 	 39.9 , -83.4 	 39.9 , -83.4
FIXED for  Madison County, Virginia 	 38.41 , -78.28 	 38.41 , -78.28
FIXED for  Madison, Florida 	 30.466666666667 , -83.416666666667 	 30.466666666667 , -83.416666666667
FIXED for  Madison, Georgia 	 33.58778 , -83.47222 	 33.58778 , -83.47222
FIXED for  Madison, Indiana 	 38.75 , -85.39528 	 38.75 , -85.39528
FIXED for  Madison, Kansas 	 38.13278 , -96.13722 	 38.13278 , -96.13722
FIXED for  Madison, Maine 	 44.79777778 , -69.87972222 	 44.79777778 , -69.87972222
FIXED for  Madison, Mississippi 	 32.45694 , -90.10833 	 32.45694 , -90.10833
FIXED for  Madison, Missouri 	 39.47306 , -92.21194 	 39.47306 , -92.21194
FIXED for  Madison, Nebraska 	 41.8275 , -97.456944444444 	 41.8275 , -97.456944444444
FIXED for  Madison, New Hampshire 	 43.9039 , -71.1472 	 43.9039 , -71.1472
FIXED for  Madison, New Jersey 	 40.75861 , -74.41583 	 40.75861 , -74.41583
FIXED for  Madison, South Dakota 	 44.007777777778 , -97.114722222222 	 44.007777777778 , -97.114722222222
FIXED for  Madison, Tennessee 	 36.2561 , -86.7139 	 36.2561 , -86.7139
FIXED for  Madison, West Virginia 	 38.061944444444 , -81.818333333333 	 38.061944444444 , -81.818333333333
FIXED for  Madison, Wisconsin 	 43.074722222222 , -89.384444444444 	 43.074722222222 , -89.384444444444
FIXED for  Madras, Oregon 	 44.630555555556 , -121.12916666667 	 44.630555555556 , -121.12916666667
FIXED for  Magdalena, Laguna 	 14.2 , 121.43333333333 	 14.2 , 121.43333333333
FIXED for  Magdalena, New Mexico 	 34.1125 , -107.23778 	 34.1125 , -107.23778
FIXED for  Magna, Utah 	 40.701666666667 , -112.08583333333 	 40.701666666667 , -112.08583333333
FIXED for  Magong 	 23.566666666667 , 119.58333333333 	 23.566666666667 , 119.58333333333
FIXED for  Magra, Algeria 	 35.6 , 5.06666667 	 35.6 , 5.06666667
FIXED for  Maham 	 28.98 , 76.3 	 28.98 , 76.3
FIXED for  Mahmudabad, India 	 27.3 , 81.13333333 	 27.3 , 81.13333333
FIXED for  Maji, Ethiopia 	 6.2 , 35.58333333 	 6.2 , 35.58333333
FIXED for  Makary, Cameroon 	 12.5717 , 14.46663 	 12.5717 , 14.46663
FIXED for  Makin, Pakistan 	 32.620833333333 , 69.839166666667 	 32.620833333333 , 69.839166666667
FIXED for  Makrai 	 25.838333333333 , 78.343055555556 	 25.838333333333 , 78.343055555556
FIXED for  Malaba, Uganda 	 0.64444444 , 34.26055556 	 0.64444444 , 34.26055556
FIXED for  Malabo 	 3.752407 , 8.775265 	 3.752407 , 8.775265
FIXED for  Malaga, California 	 36.683611111111 , -119.73388888889 	 36.683611111111 , -119.73388888889
FIXED for  Mala, Kerala 	 10.716011111111 , 76.305072222222 	 10.716011111111 , 76.305072222222
FIXED for  Malang 	 -7.98 , 112.62 	 -7.98 , 112.62
FIXED for  Malay, Aklan 	 11.9 , 121.91666666667 	 11.9 , 121.91666666667
FIXED for  Malham 	 54.061 , -2.153 	 54.061 , -2.153
FIXED for  Mali 	 17.0 , -4.0 	 17.0 , -4.0
FIXED for  Malin, Oregon 	 42.012777777778 , -121.40861111111 	 42.012777777778 , -121.40861111111
FIXED for  Malta 	 35.883333333333 , 14.5 	 35.883333333333 , 14.5
FIXED for  Malta, Idaho 	 42.30917 , -113.37028 	 42.30917 , -113.37028
FIXED for  Malta, Illinois 	 41.92917 , -88.86167 	 41.92917 , -88.86167
FIXED for  Malta, New York 	 42.966666666667 , -73.8 	 42.966666666667 , -73.8
FIXED for  Mamer 	 49.628333333333 , 6.0261111111111 	 49.628333333333 , 6.0261111111111
FIXED for  Manchester, Connecticut 	 41.77593 , -72.52148 	 41.77593 , -72.52148
FIXED for  Manchester, Iowa 	 42.486111111111 , -91.457222222222 	 42.486111111111 , -91.457222222222
FIXED for  Manchester, Kansas 	 39.09361 , -97.32139 	 39.09361 , -97.32139
FIXED for  Manchester, Kentucky 	 37.15278 , -83.76333 	 37.15278 , -83.76333
FIXED for  Manchester, Maryland 	 39.66121 , -76.88498 	 39.66121 , -76.88498
FIXED for  Manchester, Michigan 	 42.150277777778 , -84.037777777778 	 42.150277777778 , -84.037777777778
FIXED for  Manchester, New Hampshire 	 42.990833333333 , -71.463611111111 	 42.990833333333 , -71.463611111111
FIXED for  Manchester, Tennessee 	 35.473333333333 , -86.085555555556 	 35.473333333333 , -86.085555555556
FIXED for  Mandalay 	 21.976944444444 , 96.086944444444 	 21.976944444444 , 96.086944444444
FIXED for  Mandan, North Dakota 	 46.828888888889 , -100.89111111111 	 46.828888888889 , -100.89111111111
FIXED for  Mandera 	 3.9166666666667 , 41.833333333333 	 3.9166666666667 , 41.833333333333
FIXED for  Mandi, Himachal Pradesh 	 31.72 , 76.92 	 31.72 , 76.92
FIXED for  Mandra 	 38.06666667 , 23.48333333 	 38.06666667 , 23.48333333
FIXED for  Mandu, Madhya Pradesh 	 22.335277777778 , 75.415833333333 	 22.335277777778 , 75.415833333333
FIXED for  Manga, Minas Gerais 	 -14.755833333333 , -43.931944444444 	 -14.755833333333 , -43.931944444444
FIXED for  Manga, Montevideo 	 -34.80722222 , -56.13805556 	 -34.80722222 , -56.13805556
FIXED for  Mangan, India 	 27.52 , 88.53 	 27.52 , 88.53
FIXED for  Manhattan 	 40.728333333333 , -73.994166666667 	 40.728333333333 , -73.994166666667
FIXED for  Manhattan, Kansas 	 39.19 , -96.58667 	 39.19 , -96.58667
FIXED for  Manki, Honnavar 	 14.178888888889 , 74.481666666667 	 14.178888888889 , 74.481666666667
FIXED for  Mansa, Punjab 	 29.98 , 75.38 	 29.98 , 75.38
FIXED for  Mansar, India 	 21.4 , 79.25 	 21.4 , 79.25
FIXED for  Mansar, Pakistan 	 33.8936 , 72.2414 	 33.8936 , 72.2414
FIXED for  Mansa, Zambia 	 -11.182222222222 , 28.883333333333 	 -11.182222222222 , 28.883333333333
FIXED for  Mansfield 	 53.1435 , -1.1963 	 53.1435 , -1.1963
FIXED for  Mansfield, Arkansas 	 35.058888888889 , -94.246388888889 	 35.058888888889 , -94.246388888889
FIXED for  Mansfield, Connecticut 	 41.788333333333 , -72.228888888889 	 41.788333333333 , -72.228888888889
FIXED for  Mansfield, Indiana 	 39.676388888889 , -87.102222222222 	 39.676388888889 , -87.102222222222
FIXED for  Mansfield, Louisiana 	 32.03278 , -93.70222 	 32.03278 , -93.70222
FIXED for  Mansfield, Massachusetts 	 42.03343 , -71.21894 	 42.03343 , -71.21894
FIXED for  Mansfield, Missouri 	 37.10639 , -92.58111 	 37.10639 , -92.58111
FIXED for  Mansfield, New York 	 42.31 , -78.756666666667 	 42.31 , -78.756666666667
FIXED for  Mansfield, Ohio 	 40.754856 , -82.522855 	 40.754856 , -82.522855
FIXED for  Mansfield, Queensland 	 -27.5333 , 153.1 	 -27.5333 , 153.1
FIXED for  Mansfield, Texas 	 32.57694 , -97.12667 	 32.57694 , -97.12667
FIXED for  Mansfield, Victoria 	 -37.05 , 146.083 	 -37.05 , 146.083
FIXED for  Mansfield, Washington 	 47.81153 , -119.63671 	 47.81153 , -119.63671
FIXED for  Manta, Cundinamarca 	 5.0080555555556 , -73.540277777778 	 5.0080555555556 , -73.540277777778
FIXED for  Manzanillo, Cuba 	 20.339722222222 , -77.108611111111 	 20.339722222222 , -77.108611111111
FIXED for  Mapua, New Zealand 	 -41.25 , 173.1 	 -41.25 , 173.1
FIXED for  Marana, Arizona 	 32.386666666667 , -111.12555555556 	 32.386666666667 , -111.12555555556
FIXED for  Marang, Terengganu 	 5.2 , 103.22 	 5.2 , 103.22
FIXED for  Maras, Peru 	 -13.332777777778 , -72.156388888889 	 -13.332777777778 , -72.156388888889
FIXED for  Mardana, Madhya Pradesh 	 22.1764 , 75.8193 	 22.1764 , 75.8193
FIXED for  Margate 	 51.385 , 1.3838 	 51.385 , 1.3838
FIXED for  Margate, Florida 	 26.246388888889 , -80.212222222222 	 26.246388888889 , -80.212222222222
FIXED for  Margate, Queensland 	 -27.243 , 153.102 	 -27.243 , 153.102
FIXED for  Margate, Tasmania 	 -43.02944444 , 147.26166667 	 -43.02944444 , 147.26166667
FIXED for  Marietta, Georgia 	 33.953333333333 , -84.540555555556 	 33.953333333333 , -84.540555555556
FIXED for  Marietta, Ohio 	 39.42056 , -81.45028 	 39.42056 , -81.45028
FIXED for  Marietta, Oklahoma 	 33.93528 , -97.11972 	 33.93528 , -97.11972
FIXED for  Marietta, Pennsylvania 	 40.05704 , -76.55219 	 40.05704 , -76.55219
FIXED for  Marina, California 	 36.684444444444 , -121.80222222222 	 36.684444444444 , -121.80222222222
FIXED for  Marina, Croatia 	 43.514083333333 , 16.108166666667 	 43.514083333333 , 16.108166666667
FIXED for  Marina, Egypt 	 30.825 , 29.003888888889 	 30.825 , 29.003888888889
FIXED for  Marino, Dublin 	 53.366666666667 , -6.2333333333333 	 53.366666666667 , -6.2333333333333
FIXED for  Marino, South Australia 	 -35.064 , 138.518 	 -35.064 , 138.518
FIXED for  Marion, Arkansas 	 35.206111111111 , -90.201666666667 	 35.206111111111 , -90.201666666667
FIXED for  Marion, Illinois 	 37.73028 , -88.93 	 37.73028 , -88.93
FIXED for  Marion, Indiana 	 40.5492 , -85.6647 	 40.5492 , -85.6647
FIXED for  Marion, Iowa 	 42.034166666667 , -91.597777777778 	 42.034166666667 , -91.597777777778
FIXED for  Marion, Kentucky 	 37.3325 , -88.07889 	 37.3325 , -88.07889
FIXED for  Marion, Louisiana 	 32.90167 , -92.24333 	 32.90167 , -92.24333
FIXED for  Marion, Massachusetts 	 41.7 , -70.763333333333 	 41.7 , -70.763333333333
FIXED for  Marion, North Dakota 	 46.607222222222 , -98.333611111111 	 46.607222222222 , -98.333611111111
FIXED for  Marion, Ohio 	 40.58639 , -83.12639 	 40.58639 , -83.12639
FIXED for  Marion, South Australia 	 -34.997 , 138.552 	 -34.997 , 138.552
FIXED for  Marion, South Carolina 	 34.18 , -79.397222222222 	 34.18 , -79.397222222222
FIXED for  Marion, Utah 	 40.6814 , -111.283 	 40.6814 , -111.283
FIXED for  Marion, Virginia 	 36.83484 , -81.51484 	 36.83484 , -81.51484
FIXED for  Mari, Syria 	 34.549444444444 , 40.89 	 34.549444444444 , 40.89
FIXED for  Marki 	 52.333333333333 , 21.1 	 52.333333333333 , 21.1
FIXED for  Marlborough, Calgary 	 51.0594 , -113.968 	 51.0594 , -113.968
FIXED for  Marlborough, Connecticut 	 41.635277777778 , -72.487222222222 	 41.635277777778 , -72.487222222222
FIXED for  Marlborough, Massachusetts 	 42.345833333333 , -71.552777777778 	 42.345833333333 , -71.552777777778
FIXED for  Marlborough, New Hampshire 	 42.904722222222 , -72.21 	 42.904722222222 , -72.21
FIXED for  Marlborough, New York 	 41.631944444444 , -73.984166666667 	 41.631944444444 , -73.984166666667
FIXED for  Marlborough, Queensland 	 -22.8167 , 149.883 	 -22.8167 , 149.883
FIXED for  Marlborough, Wiltshire 	 51.417 , -1.717 	 51.417 , -1.717
FIXED for  Marsa, Malta 	 35.883333333333 , 14.494722222222 	 35.883333333333 , 14.494722222222
FIXED for  Marshalltown, Iowa 	 42.041666666667 , -92.914444444444 	 42.041666666667 , -92.914444444444
FIXED for  Mars, Pennsylvania 	 40.6959 , -80.01173 	 40.6959 , -80.01173
FIXED for  Martin County, Florida 	 27.08 , -80.4 	 27.08 , -80.4
FIXED for  Martin County, Indiana 	 38.71 , -86.8 	 38.71 , -86.8
FIXED for  Martin County, Minnesota 	 43.68 , -94.56 	 43.68 , -94.56
FIXED for  Martin County, North Carolina 	 35.84 , -77.1 	 35.84 , -77.1
FIXED for  Martinez, California 	 38.019444444444 , -122.13416666667 	 38.019444444444 , -122.13416666667
FIXED for  Martinez, Georgia 	 33.51583 , -82.1 	 33.51583 , -82.1
FIXED for  Martino, Phthiotis 	 38.56817 , 23.21458 	 38.56817 , 23.21458
FIXED for  Mary, Turkmenistan 	 37.6 , 61.833333333333 	 37.6 , 61.833333333333
FIXED for  Masaka 	 -0.33361111111111 , 31.733888888889 	 -0.33361111111111 , 31.733888888889
FIXED for  Masaya 	 11.966666666667 , -86.1 	 11.966666666667 , -86.1
FIXED for  Mase, Switzerland 	 46.2 , 7.4333333333333 	 46.2 , 7.4333333333333
FIXED for  Mason County, Illinois 	 40.24 , -89.91 	 40.24 , -89.91
FIXED for  Mason County, Texas 	 30.72 , -99.22 	 30.72 , -99.22
FIXED for  Mason County, West Virginia 	 38.77 , -82.02 	 38.77 , -82.02
FIXED for  Mason, Illinois 	 38.95222 , -88.62639 	 38.95222 , -88.62639
FIXED for  Mason, Michigan 	 42.5792 , -84.44358 	 42.5792 , -84.44358
FIXED for  Mason, New Hampshire 	 42.743611111111 , -71.768888888889 	 42.743611111111 , -71.768888888889
FIXED for  Mason, Ohio 	 39.35778 , -84.31167 	 39.35778 , -84.31167
FIXED for  Mason, Texas 	 30.74778 , -99.23167 	 30.74778 , -99.23167
FIXED for  Masur, India 	 17.4 , 74.15 	 17.4 , 74.15
FIXED for  Matala, Crete 	 34.993055555556 , 24.749722222222 	 34.993055555556 , 24.749722222222
FIXED for  Matale 	 7.4666666666667 , 80.616666666667 	 7.4666666666667 , 80.616666666667
FIXED for  Matanzas 	 23.049444 , -81.573611 	 23.049444 , -81.573611
FIXED for  Matanzas, Chile 	 -33.95996667 , -71.87156389 	 -33.95996667 , -71.87156389
FIXED for  Matara, Eritrea 	 14.674722222222 , 39.424722222222 	 14.674722222222 , 39.424722222222
FIXED for  Matara, Sri Lanka 	 5.95 , 80.533333333333 	 5.95 , 80.533333333333
FIXED for  Mati, Davao Oriental 	 6.95 , 126.23333333333 	 6.95 , 126.23333333333
FIXED for  Matta, Swat 	 35.093055555556 , 72.309722222222 	 35.093055555556 , 72.309722222222
FIXED for  Mau 	 25.95 , 83.5667 	 25.95 , 83.5667
FIXED for  Mayda 	 46.38333333 , -37.33333333 	 46.38333333 , -37.33333333
FIXED for  Mayen 	 50.333333333333 , 7.2166666666667 	 50.333333333333 , 7.2166666666667
FIXED for  Mayo, Maryland 	 38.8933 , -76.5044 	 38.8933 , -76.5044
FIXED for  Mayo, Quebec 	 45.6667 , -75.35 	 45.6667 , -75.35
FIXED for  May, Texas 	 31.9797 , -98.92 	 31.9797 , -98.92
FIXED for  Mbala, Zambia 	 -8.83333333 , 31.36666667 	 -8.83333333 , 31.36666667
FIXED for  McLean, Illinois 	 40.315 , -89.17056 	 40.315 , -89.17056
FIXED for  McLean, Texas 	 35.23255 , -100.59986 	 35.23255 , -100.59986
FIXED for  McLean, Virginia 	 38.928333333333 , -77.175277777778 	 38.928333333333 , -77.175277777778
FIXED for  Medellin, Cebu 	 11.1286 , 123.9622 	 11.1286 , 123.9622
FIXED for  Medford, Maine 	 45.285277777778 , -68.851666666667 	 45.285277777778 , -68.851666666667
